,User,Date,Tweet,Tweets Ago,Compound,Negative,Neutral,Positive
64,@BBCNews,Fri Sep 21 20:55:04 +0000 2018,Saturday’s Mirror: “Strictly Katie Saved My Life” #bbcpapers #tomorrowspaperstoday (via @AllieHBNews)   https://t.co/I68Qctr5JX,65,0.4215,0.797,0.0,0.203
65,@BBCNews,Fri Sep 21 20:54:13 +0000 2018,Saturday’s Times: “Defiant May raises stakes with no-deal threat to EU” #bbcpapers #tomorrowspaperstoday (via… https://t.co/JzqnLfwRBo,66,-0.5267,0.805,0.195,0.0
66,@BBCNews,Fri Sep 21 20:53:36 +0000 2018,RT @BBCBusiness: Is this the secret to High Street success? https://t.co/8vztfmx8Mh,67,0.5719,0.73,0.0,0.27
67,@BBCNews,Fri Sep 21 20:52:24 +0000 2018,"Salisbury Prezzo poisoning scare not a hoax, says Anna Shapiro https://t.co/yaM4pQDSJC",68,-0.734,0.443,0.443,0.115
68,@BBCNews,Fri Sep 21 20:25:56 +0000 2018,"RT @BBCWorld: Yes, these lips are r-eel 😮 

(Tap to expand) https://t.co/zoipbop0uR https://t.co/PGhl5rBzPW",69,0.4019,0.803,0.0,0.197
69,@BBCNews,Fri Sep 21 19:10:52 +0000 2018,Rod Rosenstein denies voicing plot to remove Trump https://t.co/o28j1IODqG,70,-0.4215,0.741,0.259,0.0
70,@BBCNews,Fri Sep 21 18:35:03 +0000 2018,RT @BBCLookNorth: Acid attack pony ready to be re-homed after being successfully treated: https://t.co/E7zDAxQI3y https://t.co/4xv2eoGbOo,71,0.3818,0.577,0.149,0.274
71,@BBCNews,Fri Sep 21 18:03:11 +0000 2018,Brexit: What happens next? https://t.co/VubQ76Ze5g,72,0.0,1.0,0.0,0.0
72,@BBCNews,Fri Sep 21 17:34:28 +0000 2018,"Oliver, Olivia, Hunter, Aurora, Ralph, Orla...

How popular is your favourite baby name? https://t.co/w3La9W9WEK https://t.co/Px5cRLUoaN",73,0.4215,0.833,0.0,0.167
73,@BBCNews,Fri Sep 21 17:28:49 +0000 2018,RT @BBCScienceNews: Turning around the lives of dementia patients https://t.co/3BrIfeZ9BW,74,0.0,1.0,0.0,0.0
74,@BBCNews,Fri Sep 21 17:25:52 +0000 2018,"RT @bbcweather: Here's our weekend set up. England and Wales likely to be wet at times after a bright start, and there's the potential for…",75,0.4404,0.888,0.0,0.112
